Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
225.32,5.089,1146.653,225.8,5.098,1149.1
225.53,5.084,1146.595,225.8,5.103,1152.2
225.48,5.084,1146.34,226.2,5.103,1155.3
225.82,5.083,1147.843,225.8,5.103,1151.1
225.82,5.088,1148.972,226.2,5.106,1153.2
225.86,5.085,1148.498,226.2,5.098,1153.2
225.55,5.085,1146.922,226.2,5.106,1153.2
225.69,5.082,1146.957,226.2,5.101,1153.2
225.69,5.086,1147.859,226.2,5.103,1154.2
225.75,5.086,1148.164,225.8,5.103,1151.1
225.63,5.085,1147.329,225.8,5.077,1147.0
225.07,5.085,1144.481,225.0,5.079,1142.9
224.7,5.065,1138.106,225.0,5.086,1146.0
224.7,5.07,1139.229,226.2,5.106,1151.1
225.7,5.079,1146.33,225.8,5.101,1152.2
225.73,5.079,1146.483,226.2,5.103,1154.2
225.94,5.09,1150.035,226.2,5.108,1154.2
225.94,5.088,1149.583,226.6,5.106,1155.3
225.96,5.09,1150.136,226.2,5.101,1153.2
225.76,5.09,1149.118,225.8,5.101,1151.1
225.44,5.081,1145.461,226.2,5.096,1153.2
225.44,5.088,1147.039,226.2,5.081,1142.9
225.81,5.069,1144.631,225.0,5.077,1142.9
224.61,5.069,1138.548,225.0,5.074,1141.9
224.61,5.057,1135.853,225.8,5.077,1151.1
224.61,5.067,1138.099,225.8,5.094,1151.1
225.29,5.081,1144.698,225.8,5.094,1151.1
225.57,5.081,1146.121,225.4,5.091,1147.0
225.19,5.079,1143.74,225.8,5.096,1149.1
225.19,5.078,1143.515,225.4,5.086,1146.0
224.89,5.07,1140.192,225.0,5.084,1144.0
224.85,5.07,1139.99,225.0,5.086,1146.0
