Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
221.5,8.306,1847.1,222.3,8.302,1845.1
221.8,8.306,1847.1,222.3,8.296,1842.5
222.2,8.313,1852.4,222.3,8.302,1850.5
222.6,8.313,1852.4,222.3,8.302,1845.1
223.0,8.313,1849.7,222.3,8.296,1850.5
222.2,8.293,1847.1,222.3,8.296,1845.1
222.2,8.3,1847.1,222.3,8.296,1842.5
221.8,8.287,1844.4,222.3,8.289,1845.1
222.2,8.3,1847.1,222.7,8.296,1842.5
222.2,8.3,1847.1,222.3,8.296,1845.1
222.2,8.3,1849.7,222.3,8.296,1845.1
223.0,8.3,1852.4,222.7,8.296,1850.5
222.6,8.306,1849.7,222.3,8.302,1847.8
222.2,8.3,1847.1,222.7,8.309,1839.8
221.8,8.293,1831.3,222.3,8.283,1829.3
220.7,8.268,1831.3,221.2,8.257,1829.3
221.1,8.261,1828.7,221.2,8.257,1826.7
221.5,8.261,1831.3,221.2,8.257,1824.1
221.1,8.249,1826.1,220.8,8.244,1826.7
221.1,8.255,1828.7,221.2,8.264,1824.1
221.1,8.261,1828.7,221.2,8.251,1826.7
221.1,8.261,1828.7,221.2,8.257,1829.3
221.1,8.268,1831.3,221.2,8.264,1829.3
221.1,8.261,1828.7,221.2,8.257,1829.3
221.5,8.274,1831.3,221.5,8.264,1829.3
221.1,8.268,1833.9,221.2,8.264,1829.3
221.8,8.261,1831.3,221.2,8.251,1826.7
221.5,8.261,1831.3,221.2,8.264,1829.3
221.5,8.261,1833.9,221.5,8.27,1829.3
221.1,8.261,1833.9,221.5,8.264,1831.9
221.1,8.268,1844.4,222.3,8.264,1842.5
221.8,8.287,1839.1,221.9,8.283,1837.2
