Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
230.87,0.917,211.708,230.8,0.899,207.4
230.95,0.917,211.781,230.8,0.898,207.0
229.61,0.914,209.864,230.0,0.897,205.5
229.61,0.914,209.864,229.6,0.897,206.0
229.61,0.914,209.864,230.0,0.895,205.1
229.34,0.914,209.617,229.6,0.895,205.7
229.34,0.914,209.617,230.0,0.897,206.1
229.99,0.914,210.211,230.0,0.896,206.2
229.99,0.914,210.211,230.0,0.897,205.9
229.99,0.914,210.211,230.0,0.897,206.2
229.98,0.914,210.202,230.0,0.896,205.9
229.98,0.914,210.202,230.0,0.896,206.5
