Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
226.11,8.43,1906.107,226.2,8.454,1910.6
226.01,8.43,1905.264,225.8,8.447,1913.5
226.01,8.413,1901.422,226.6,8.447,1910.6
226.01,8.413,1901.422,226.2,8.441,1907.8
225.94,8.413,1900.833,225.8,8.434,1904.9
225.94,8.402,1898.348,225.8,8.434,1907.8
225.86,8.402,1897.676,225.8,8.434,1907.8
225.86,8.402,1897.676,226.2,8.441,1907.8
225.86,8.4,1897.224,225.8,8.441,1907.8
225.99,8.4,1898.316,226.2,8.427,1902.1
225.99,8.4,1898.316,226.2,8.434,1907.8
225.99,8.401,1898.542,226.2,8.441,1910.6
226.07,8.401,1899.214,226.2,8.434,1907.8
226.07,8.401,1899.214,226.2,8.434,1907.8
