Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
226.94,3.617,820.842,226.7,3.616,1086.0
226.94,3.626,822.884,227.1,3.617,1088.0
226.78,3.631,823.438,227.1,3.618,1087.0
226.88,3.631,823.801,227.1,3.626,1087.0
227.14,3.631,824.745,227.1,3.628,1088.0
227.14,3.634,825.427,227.1,3.62,1088.0
227.04,3.634,825.063,227.1,3.626,1090.0
227.13,3.634,825.39,227.1,3.628,1090.0
227.06,3.633,824.909,227.1,3.622,1086.0
227.06,3.633,824.909,227.1,3.624,1086.0
227.04,3.631,824.382,227.1,3.618,1086.0
227.04,3.631,824.382,227.1,3.622,1089.0
227.17,3.633,825.309,227.1,3.628,1090.0
227.17,3.635,825.763,227.1,3.629,1091.0
227.44,3.636,826.972,227.1,3.626,1091.0
227.36,3.636,826.681,227.1,3.623,1087.0
226.89,3.633,824.291,227.1,3.622,1088.0
226.89,3.631,823.838,227.1,3.618,1090.0
226.92,3.634,824.627,227.1,3.623,1088.0
227.15,3.634,825.463,227.1,3.622,1086.0
226.89,3.633,824.291,227.1,3.624,1088.0
226.89,3.632,824.064,227.1,3.627,1090.0
227.13,3.631,824.709,227.1,3.63,1088.0
227.21,3.631,825.0,227.5,3.62,1089.0
226.84,3.631,823.656,227.1,3.627,1088.0
226.84,3.632,823.883,227.5,3.624,1088.0
227.04,3.633,824.836,227.1,3.622,1089.0
227.01,3.633,824.727,227.9,3.636,1096.0
227.8,3.638,828.736,227.9,3.634,1096.0
227.8,3.645,830.331,228.3,3.637,1099.0
228.05,3.648,831.926,228.3,3.641,1098.0
228.21,3.648,832.51,228.3,3.64,1097.0
