Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
227.9,0.266,62.3,227.9,0.27,62.1
227.4,0.264,62.8,227.9,0.27,61.8
227.9,0.265,62.5,227.9,0.27,61.7
228.3,0.265,62.4,228.3,0.271,61.7
227.9,0.264,62.5,228.3,0.271,62.1
228.3,0.264,62.3,228.3,0.271,61.7
228.3,0.265,62.5,228.7,0.27,61.9
228.7,0.265,62.4,228.3,0.271,61.7
228.7,0.265,62.7,228.3,0.271,61.7
228.7,0.264,62.5,228.3,0.27,61.8
228.3,0.264,62.4,228.7,0.269,61.8
228.3,0.264,62.5,228.3,0.271,61.9
228.7,0.266,62.6,229.6,0.271,62.1
228.3,0.265,62.4,228.7,0.271,62.0
228.3,0.266,62.6,228.3,0.271,61.6
228.3,0.265,62.2,228.3,0.27,61.6
228.7,0.265,62.3,228.3,0.271,61.6
228.3,0.264,62.3,228.3,0.27,61.8
228.3,0.264,62.5,228.7,0.269,62.0
228.7,0.265,62.3,228.7,0.27,61.9
228.3,0.264,62.6,228.3,0.27,61.9
228.3,0.266,62.5,228.7,0.27,62.3
228.3,0.266,62.4,229.2,0.271,62.0
228.7,0.265,62.6,228.7,0.271,61.7
228.3,0.265,62.6,228.7,0.271,62.0
228.3,0.264,62.5,228.7,0.271,61.9
228.3,0.264,62.6,228.7,0.271,62.0
228.3,0.264,62.6,228.7,0.271,61.6
228.7,0.264,62.3,229.2,0.27,61.8
228.7,0.264,62.7,228.7,0.271,61.9
228.3,0.264,62.9,228.7,0.27,61.7
228.3,0.265,62.5,228.7,0.271,61.9
